label,text,text_np,text_tokens,text_nostop,text_lem,length,punc%
ham,خذ قسطًا من الراحة واعتنِ بنفسك!,خذ قسطًا من الراحة واعتنِ بنفسك,"['خذ', 'قسطًا', 'من', 'الراحة', 'واعتنِ', 'بنفسك']","['خذ', 'قسطًا', 'الراحة', 'واعتنِ', 'بنفسك']",خَذّ قِسط رَاحَة وَ فَتَن بنفسك,0.23880597014925373,0.18852459016393436
spam,عاجل! تم اختراق حسابك. انقر هنا للتحقق: www.رابط-وهمي2.com,عاجل تم اختراق حسابك انقر هنا للتحقق wwwرابطوهمي2com,"['عاجل', 'تم', 'اختراق', 'حسابك', 'انقر', 'هنا', 'للتحقق', 'wwwرابطوهمي2com']","['عاجل', 'تم', 'اختراق', 'حسابك', 'انقر', 'للتحقق', 'wwwرابطوهمي2com']",عَاجِل تَمّ اِختِرَاق حَسَّابَك أَنقَر لِ تَحَقُّق wwwرابطوهمي 2co m,0.5970149253731343,0.8524590163934425
ham,هل رأيت رسالتي الأخيرة؟,هل رأيت رسالتي الأخيرة,"['هل', 'رأيت', 'رسالتي', 'الأخيرة']","['رأيت', 'رسالتي', 'الأخيرة']",رَأَى رَسالَة أَخِير,0.1343283582089552,0.2950819672131147
ham,هل نتناول الغداء معًا غدًا؟,هل نتناول الغداء معًا غدًا,"['هل', 'نتناول', 'الغداء', 'معًا', 'غدًا']","['نتناول', 'الغداء', 'معًا', 'غدًا']",تَنَاوَل اَلَّذِي غِدَاء مَعًً غَد,0.1791044776119403,0.23770491803278682
spam,تهانينا! أنت مؤهل للحصول على قرض بقيمة 10000 دولار. اتصل بنا الآن!,تهانينا أنت مؤهل للحصول على قرض بقيمة 10000 دولار اتصل بنا الآن,"['تهانينا', 'أنت', 'مؤهل', 'للحصول', 'على', 'قرض', 'بقيمة', '10000', 'دولار', 'اتصل', 'بنا', 'الآن']","['تهانينا', 'مؤهل', 'للحصول', 'قرض', 'بقيمة', '10000', 'اتصل']",تَهنِين مُؤَهَّل لِ حُصُول قَرض بِ قِيمَة 10000 اِتَّصَل,0.6567164179104478,0.33606557377049173
ham,مرحبًا، هل لديك أخبار عن زينب؟,مرحبًا، هل لديك أخبار عن زينب,"['مرحبًا،', 'هل', 'لديك', 'أخبار', 'عن', 'زينب']","['مرحبًا،', 'لديك', 'أخبار', 'زينب']",مُرَحَّب ، لَدَى هُوَ خَبَر زَينَب,0.20895522388059698,0.21311475409836061
ham,هل شاهدت المباراة أمس؟,هل شاهدت المباراة أمس,"['هل', 'شاهدت', 'المباراة', 'أمس']","['شاهدت', 'المباراة']",شَاهَد مُبَارَاة,0.11940298507462685,0.3196721311475409
ham,كان الفيلم الذي شاهدناه أمس رائعًا، يجب أن تراه!,كان الفيلم الذي شاهدناه أمس رائعًا، يجب أن تراه,"['كان', 'الفيلم', 'الذي', 'شاهدناه', 'أمس', 'رائعًا،', 'يجب', 'أن', 'تراه']","['الفيلم', 'شاهدناه', 'رائعًا،', 'يجب', 'تراه']",فِيلم شاهدناه رَائِع ، وَجَب تراه,0.4328358208955223,0.09016393442622948
ham,هل يمكننا الالتقاء في نهاية الأسبوع؟,هل يمكننا الالتقاء في نهاية الأسبوع,"['هل', 'يمكننا', 'الالتقاء', 'في', 'نهاية', 'الأسبوع']","['يمكننا', 'الالتقاء', 'نهاية', 'الأسبوع']",أَمكَن هُوَ اِلتِقَاء نِهَايَة أُسبُوع,0.29850746268656714,0.14754098360655737
spam,يجب تأكيد حسابك فورًا لتجنب حذفه.,يجب تأكيد حسابك فورًا لتجنب حذفه,"['يجب', 'تأكيد', 'حسابك', 'فورًا', 'لتجنب', 'حذفه']","['يجب', 'تأكيد', 'حسابك', 'فورًا', 'لتجنب', 'حذفه']",وَجَب تَأكِيد حَسَّابَك فَور لِ تَجَنُّب هُوَ,0.25373134328358204,0.18032786885245894
ham,أنا في العمل، سأتصل بك لاحقًا.,أنا في العمل، سأتصل بك لاحقًا,"['أنا', 'في', 'العمل،', 'سأتصل', 'بك', 'لاحقًا']","['العمل،', 'سأتصل', 'لاحقًا']",عَمَل ، سَ اِتَّصَل لَاحِق,0.20895522388059698,0.21311475409836061
spam,تم اختراق حساب PayPal الخاص بك، قم بإعادة تعيين كلمة المرور هنا.,تم اختراق حساب paypal الخاص بك، قم بإعادة تعيين كلمة المرور هنا,"['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور', 'هنا']","['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور']",تَمّ اِختِرَاق حِسَاب paypal خَاصّ بِ هُوَ ، قَام بِ إِعَادَة تَعيِين كَلِمَة مُرُور,0.626865671641791,0.040983606557377025
spam,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا.,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا,"['فاتورتك', 'الهاتفية', 'في', 'انتظار', 'السداد،', 'قم', 'بالدفع', 'هنا']","['فاتورتك', 'الهاتفية', 'انتظار', 'السداد،', 'قم', 'بالدفع']",فَ اِتوَرتك هَاتِفِيّ اِنتِظَار سَدَاد ، قَام بالدفع,0.4626865671641791,0.08196721311475406
ham,سأصل إلى منزلك خلال 5 دقائق.,سأصل إلى منزلك خلال 5 دقائق,"['سأصل', 'إلى', 'منزلك', 'خلال', '5', 'دقائق']","['سأصل', 'منزلك', 'خلال', '5', 'دقائق']",سَ أَصل منزلك خِلَالَ 5 دَقِيقَة,0.1791044776119403,0.23770491803278682
spam,أول 10 مشتركين سيحصلون على هدية خاصة!,أول 10 مشتركين سيحصلون على هدية خاصة,"['أول', '10', 'مشتركين', 'سيحصلون', 'على', 'هدية', 'خاصة']","['10', 'مشتركين', 'سيحصلون', 'هدية']",10 مُشتَرِك سَ حَصَل هَدِيَّة,0.29850746268656714,0.14754098360655737
spam,سيتم حذف حساب WhatsApp الخاص بك إذا لم تقم بتحديث معلوماتك.,سيتم حذف حساب whatsapp الخاص بك إذا لم تقم بتحديث معلوماتك,"['سيتم', 'حذف', 'حساب', 'whatsapp', 'الخاص', 'بك', 'إذا', 'لم', 'تقم', 'بتحديث', 'معلوماتك']","['سيتم', 'حذف', 'حساب', 'whatsapp', 'الخاص', 'تقم', 'بتحديث', 'معلوماتك']",سَ تَمّ حِذف حِسَاب هُوَ خَاصّ قَمّ بِ تَحدِيث مَعلُومَة,0.5671641791044776,0.049180327868852444
spam,أول 10 مشتركين سيحصلون على هدية خاصة!,أول 10 مشتركين سيحصلون على هدية خاصة,"['أول', '10', 'مشتركين', 'سيحصلون', 'على', 'هدية', 'خاصة']","['10', 'مشتركين', 'سيحصلون', 'هدية']",10 مُشتَرِك سَ حَصَل هَدِيَّة,0.29850746268656714,0.14754098360655737
spam,قم بتحديث معلوماتك الآن لتجنب حذف حسابك.,قم بتحديث معلوماتك الآن لتجنب حذف حسابك,"['قم', 'بتحديث', 'معلوماتك', 'الآن', 'لتجنب', 'حذف', 'حسابك']","['قم', 'بتحديث', 'معلوماتك', 'لتجنب', 'حذف', 'حسابك']",قَام بِ تَحدِيث مَعلُومَة هُوَ لِ تَجَنُّب حِذف حَسَّابَك,0.34328358208955223,0.12295081967213116
ham,لدي خبر رائع أريد إخبارك به!,لدي خبر رائع أريد إخبارك به,"['لدي', 'خبر', 'رائع', 'أريد', 'إخبارك', 'به']","['لدي', 'خبر', 'رائع', 'أريد', 'إخبارك']",لَدَى خَبَر رَائِع أَرَاد هُوَ,0.1791044776119403,0.23770491803278682
ham,أتمنى لك يومًا سعيدًا!,أتمنى لك يومًا سعيدًا,"['أتمنى', 'لك', 'يومًا', 'سعيدًا']","['أتمنى', 'يومًا', 'سعيدًا']",تَمَنَّى يَوم سَعِيد,0.11940298507462685,0.3196721311475409
spam,أول 10 مشتركين سيحصلون على هدية خاصة!,أول 10 مشتركين سيحصلون على هدية خاصة,"['أول', '10', 'مشتركين', 'سيحصلون', 'على', 'هدية', 'خاصة']","['10', 'مشتركين', 'سيحصلون', 'هدية']",10 مُشتَرِك سَ حَصَل هَدِيَّة,0.29850746268656714,0.14754098360655737
ham,أنا عالق في زحمة المرور...,أنا عالق في زحمة المرور,"['أنا', 'عالق', 'في', 'زحمة', 'المرور']","['عالق', 'زحمة', 'المرور']",عَالِق زَحمَة مُرُور,0.16417910447761194,1.0000000000000002
ham,هل رأيت رسالتي الأخيرة؟,هل رأيت رسالتي الأخيرة,"['هل', 'رأيت', 'رسالتي', 'الأخيرة']","['رأيت', 'رسالتي', 'الأخيرة']",رَأَى رَسالَة أَخِير,0.1343283582089552,0.2950819672131147
spam,عاجل: سيتم إيقاف بطاقة SIM الخاصة بك خلال 24 ساعة، اتبع هذا الرابط: www.operateur-fake.com,عاجل سيتم إيقاف بطاقة sim الخاصة بك خلال 24 ساعة، اتبع هذا الرابط wwwoperateurfakecom,"['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'بك', 'خلال', '24', 'ساعة،', 'اتبع', 'هذا', 'الرابط', 'wwwoperateurfakecom']","['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'خلال', '24', 'ساعة،', 'اتبع', 'الرابط', 'wwwoperateurfakecom']",عَاجِل سَ تَمّ إِيقَاف بِطَاقَة sim خَاصّ خِلَالَ 24 سَاعَة ، اِتَّبَع رَابِط wwwope r ateurfak eco m,0.9850746268656716,0.4180327868852458
ham,هل استلمت رسالتي؟,هل استلمت رسالتي,"['هل', 'استلمت', 'رسالتي']","['استلمت', 'رسالتي']",اِستَلَم رَسالَة,0.05970149253731344,0.43442622950819665
spam,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه.,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه,"['تم', 'تحويل', '1000', 'يورو', 'إلى', 'حسابك،', 'انقر', 'هنا', 'لاستلامه']","['تم', 'تحويل', '1000', 'حسابك،', 'انقر', 'لاستلامه']",تَمّ تَحوِيل 1000 حَسَّابَك ، أَنقَر لِ اِستِلَام هُوَ,0.4328358208955223,0.09016393442622948
ham,لا تقلق، كل شيء سيكون على ما يرام.,لا تقلق، كل شيء سيكون على ما يرام,"['لا', 'تقلق،', 'كل', 'شيء', 'سيكون', 'على', 'ما', 'يرام']","['تقلق،', 'شيء', 'سيكون', 'يرام']",أَقلَق ، شَيء سِيكُون رَام,0.23880597014925373,0.18852459016393436
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.,مرحبًا، أنا مشغول الآن سأتصل بك لاحقًا,"['مرحبًا،', 'أنا', 'مشغول', 'الآن', 'سأتصل', 'بك', 'لاحقًا']","['مرحبًا،', 'مشغول', 'سأتصل', 'لاحقًا']",مُرَحَّب ، مَشغُول سَ اِتَّصَل لَاحِق,0.34328358208955223,0.36885245901639335
spam,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه.,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه,"['تم', 'تحويل', '1000', 'يورو', 'إلى', 'حسابك،', 'انقر', 'هنا', 'لاستلامه']","['تم', 'تحويل', '1000', 'حسابك،', 'انقر', 'لاستلامه']",تَمّ تَحوِيل 1000 حَسَّابَك ، أَنقَر لِ اِستِلَام هُوَ,0.4328358208955223,0.09016393442622948
ham,مرحبًا خالد، هل تريد أن نذهب لتناول القهوة غدًا؟,مرحبًا خالد، هل تريد أن نذهب لتناول القهوة غدًا,"['مرحبًا', 'خالد،', 'هل', 'تريد', 'أن', 'نذهب', 'لتناول', 'القهوة', 'غدًا']","['مرحبًا', 'خالد،', 'تريد', 'نذهب', 'لتناول', 'القهوة', 'غدًا']",مُرَحَّب خالد ، أَرَاد نذهب لِ تَنَاوُل قَهوَة غَد,0.4328358208955223,0.09016393442622948
spam,لقد تم اختيارك للحصول على ميراث بقيمة 5000 دولار. اتصل بنا الآن!,لقد تم اختيارك للحصول على ميراث بقيمة 5000 دولار اتصل بنا الآن,"['لقد', 'تم', 'اختيارك', 'للحصول', 'على', 'ميراث', 'بقيمة', '5000', 'دولار', 'اتصل', 'بنا', 'الآن']","['لقد', 'تم', 'اختيارك', 'للحصول', 'ميراث', 'بقيمة', '5000', 'اتصل']",لقد تَمّ اِختِيَارك لِ حُصُول مِيرَاث بِ قِيمَة 5000 اِتَّصَل,0.626865671641791,0.19672131147540978
spam,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه.,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه,"['تم', 'تحويل', '1000', 'يورو', 'إلى', 'حسابك،', 'انقر', 'هنا', 'لاستلامه']","['تم', 'تحويل', '1000', 'حسابك،', 'انقر', 'لاستلامه']",تَمّ تَحوِيل 1000 حَسَّابَك ، أَنقَر لِ اِستِلَام هُوَ,0.4328358208955223,0.09016393442622948
spam,تم اختراق حساب PayPal الخاص بك، قم بإعادة تعيين كلمة المرور هنا.,تم اختراق حساب paypal الخاص بك، قم بإعادة تعيين كلمة المرور هنا,"['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور', 'هنا']","['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور']",تَمّ اِختِرَاق حِسَاب paypal خَاصّ بِ هُوَ ، قَام بِ إِعَادَة تَعيِين كَلِمَة مُرُور,0.626865671641791,0.040983606557377025
spam,عاجل: سيتم إيقاف بطاقة SIM الخاصة بك خلال 24 ساعة، اتبع هذا الرابط: www.operateur-fake.com,عاجل سيتم إيقاف بطاقة sim الخاصة بك خلال 24 ساعة، اتبع هذا الرابط wwwoperateurfakecom,"['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'بك', 'خلال', '24', 'ساعة،', 'اتبع', 'هذا', 'الرابط', 'wwwoperateurfakecom']","['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'خلال', '24', 'ساعة،', 'اتبع', 'الرابط', 'wwwoperateurfakecom']",عَاجِل سَ تَمّ إِيقَاف بِطَاقَة sim خَاصّ خِلَالَ 24 سَاعَة ، اِتَّبَع رَابِط wwwope r ateurfak eco m,0.9850746268656716,0.4180327868852458
spam,عاجل: سيتم إيقاف بطاقة SIM الخاصة بك خلال 24 ساعة، اتبع هذا الرابط: www.operateur-fake.com,عاجل سيتم إيقاف بطاقة sim الخاصة بك خلال 24 ساعة، اتبع هذا الرابط wwwoperateurfakecom,"['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'بك', 'خلال', '24', 'ساعة،', 'اتبع', 'هذا', 'الرابط', 'wwwoperateurfakecom']","['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'خلال', '24', 'ساعة،', 'اتبع', 'الرابط', 'wwwoperateurfakecom']",عَاجِل سَ تَمّ إِيقَاف بِطَاقَة sim خَاصّ خِلَالَ 24 سَاعَة ، اِتَّبَع رَابِط wwwope r ateurfak eco m,0.9850746268656716,0.4180327868852458
ham,كان يومًا رائعًا!,كان يومًا رائعًا,"['كان', 'يومًا', 'رائعًا']","['يومًا', 'رائعًا']",يَوم رَائِع,0.05970149253731344,0.43442622950819665
ham,هل يمكنك معاودة الاتصال عندما تكون متفرغًا؟,هل يمكنك معاودة الاتصال عندما تكون متفرغًا,"['هل', 'يمكنك', 'معاودة', 'الاتصال', 'عندما', 'تكون', 'متفرغًا']","['يمكنك', 'معاودة', 'الاتصال', 'عندما', 'تكون', 'متفرغًا']",أَمكَن هُوَ مُعَاوَدَة اِتِّصَال عِندَمَا كَان مُتَفَرِّغ,0.3880597014925373,0.10655737704918032
ham,رأيت بول اليوم، وقد أرسل لك تحياته.,رأيت بول اليوم، وقد أرسل لك تحياته,"['رأيت', 'بول', 'اليوم،', 'وقد', 'أرسل', 'لك', 'تحياته']","['رأيت', 'بول', 'اليوم،', 'وقد', 'أرسل', 'تحياته']",رَأَى بُول يَوم ، وَ قَد أَرسَل تَحِيَّة هُوَ,0.26865671641791045,0.1639344262295082
ham,مرحبًا، هل شاهدت الفيلم الأخير في السينما؟ كان رائعًا!,مرحبًا، هل شاهدت الفيلم الأخير في السينما كان رائعًا,"['مرحبًا،', 'هل', 'شاهدت', 'الفيلم', 'الأخير', 'في', 'السينما', 'كان', 'رائعًا']","['مرحبًا،', 'شاهدت', 'الفيلم', 'الأخير', 'السينما', 'رائعًا']",مُرَحَّب ، شَاهَد فِيلم أَخِير سِينَمَا رَائِع,0.5223880597014925,0.23770491803278682
ham,هل يمكنك معاودة الاتصال عندما تكون متفرغًا؟,هل يمكنك معاودة الاتصال عندما تكون متفرغًا,"['هل', 'يمكنك', 'معاودة', 'الاتصال', 'عندما', 'تكون', 'متفرغًا']","['يمكنك', 'معاودة', 'الاتصال', 'عندما', 'تكون', 'متفرغًا']",أَمكَن هُوَ مُعَاوَدَة اِتِّصَال عِندَمَا كَان مُتَفَرِّغ,0.3880597014925373,0.10655737704918032
spam,تهانينا! لقد ربحت هاتف آيفون 15، انقر هنا لاستلامه: www.fake-link.com,تهانينا لقد ربحت هاتف آيفون 15، انقر هنا لاستلامه wwwfakelinkcom,"['تهانينا', 'لقد', 'ربحت', 'هاتف', 'آيفون', '15،', 'انقر', 'هنا', 'لاستلامه', 'wwwfakelinkcom']","['تهانينا', 'لقد', 'ربحت', 'هاتف', 'آيفون', '15،', 'انقر', 'لاستلامه', 'wwwfakelinkcom']",تَهنِين لقد رَبَح هَاتِف آيفون 15 ، أَنقَر لِ اِستِلَام هُوَ wwwfakelinkco m,0.7313432835820896,0.5655737704918032
spam,قم بتحديث معلوماتك الآن لتجنب حذف حسابك.,قم بتحديث معلوماتك الآن لتجنب حذف حسابك,"['قم', 'بتحديث', 'معلوماتك', 'الآن', 'لتجنب', 'حذف', 'حسابك']","['قم', 'بتحديث', 'معلوماتك', 'لتجنب', 'حذف', 'حسابك']",قَام بِ تَحدِيث مَعلُومَة هُوَ لِ تَجَنُّب حِذف حَسَّابَك,0.34328358208955223,0.12295081967213116
ham,حظًا موفقًا في مقابلتك الوظيفية!,حظًا موفقًا في مقابلتك الوظيفية,"['حظًا', 'موفقًا', 'في', 'مقابلتك', 'الوظيفية']","['حظًا', 'موفقًا', 'مقابلتك', 'الوظيفية']",حَظّ مُوَفَّق مُقَابَلَة هُوَ وَظِيفِيّ,0.25373134328358204,0.18032786885245894
ham,لا تقلق، كل شيء سيكون على ما يرام.,لا تقلق، كل شيء سيكون على ما يرام,"['لا', 'تقلق،', 'كل', 'شيء', 'سيكون', 'على', 'ما', 'يرام']","['تقلق،', 'شيء', 'سيكون', 'يرام']",أَقلَق ، شَيء سِيكُون رَام,0.23880597014925373,0.18852459016393436
ham,أتمنى لك يومًا سعيدًا!,أتمنى لك يومًا سعيدًا,"['أتمنى', 'لك', 'يومًا', 'سعيدًا']","['أتمنى', 'يومًا', 'سعيدًا']",تَمَنَّى يَوم سَعِيد,0.11940298507462685,0.3196721311475409
spam,احصل على خصم فوري بنسبة 50% على طلبك القادم!,احصل على خصم فوري بنسبة 50 على طلبك القادم,"['احصل', 'على', 'خصم', 'فوري', 'بنسبة', '50', 'على', 'طلبك', 'القادم']","['احصل', 'خصم', 'فوري', 'بنسبة', '50', 'طلبك', 'القادم']",حَصل خَصَم فَورِيّ بِ نِسبَة 50 طَلَبك قَادِم,0.3731343283582089,0.3442622950819672
spam,أول 10 مشتركين سيحصلون على هدية خاصة!,أول 10 مشتركين سيحصلون على هدية خاصة,"['أول', '10', 'مشتركين', 'سيحصلون', 'على', 'هدية', 'خاصة']","['10', 'مشتركين', 'سيحصلون', 'هدية']",10 مُشتَرِك سَ حَصَل هَدِيَّة,0.29850746268656714,0.14754098360655737
ham,هل نلتقي أمام السينما الساعة 20؟,هل نلتقي أمام السينما الساعة 20,"['هل', 'نلتقي', 'أمام', 'السينما', 'الساعة', '20']","['نلتقي', 'السينما', 'الساعة', '20']",نلتقي سِينَمَا سَاعَة 20,0.23880597014925373,0.18852459016393436
spam,عرض خاص: خصم 70% على جميع منتجاتنا، انقر هنا: www.promo-fake.com,عرض خاص خصم 70 على جميع منتجاتنا، انقر هنا wwwpromofakecom,"['عرض', 'خاص', 'خصم', '70', 'على', 'جميع', 'منتجاتنا،', 'انقر', 'هنا', 'wwwpromofakecom']","['عرض', 'خاص', 'خصم', '70', 'منتجاتنا،', 'انقر', 'wwwpromofakecom']",عَرض خَاصّ خَصَم 70 مُنتَج هُوَ ، أَنقَر wwwp r o mofak eco m,0.6567164179104478,0.7786885245901639
ham,أتمنى أن تكون بخير، لم نلتقِ منذ فترة!,أتمنى أن تكون بخير، لم نلتقِ منذ فترة,"['أتمنى', 'أن', 'تكون', 'بخير،', 'لم', 'نلتقِ', 'منذ', 'فترة']","['أتمنى', 'تكون', 'بخير،', 'نلتقِ', 'فترة']",تَمَنَّى كَان بِ خَير ، اِلتَقَِ فَترَة,0.29850746268656714,0.14754098360655737
ham,لا تقلق، كل شيء سيكون على ما يرام.,لا تقلق، كل شيء سيكون على ما يرام,"['لا', 'تقلق،', 'كل', 'شيء', 'سيكون', 'على', 'ما', 'يرام']","['تقلق،', 'شيء', 'سيكون', 'يرام']",أَقلَق ، شَيء سِيكُون رَام,0.23880597014925373,0.18852459016393436
spam,تم حظر حسابك البنكي، تحقق من هويتك هنا: www.faux-site.com,تم حظر حسابك البنكي، تحقق من هويتك هنا wwwfauxsitecom,"['تم', 'حظر', 'حسابك', 'البنكي،', 'تحقق', 'من', 'هويتك', 'هنا', 'wwwfauxsitecom']","['تم', 'حظر', 'حسابك', 'البنكي،', 'تحقق', 'هويتك', 'wwwfauxsitecom']",تَمّ حَظر حَسَّابَك البنكي ، حَقَّق هُوِيَّة هُوَ wwwfauxsit eco m,0.5671641791044776,0.5573770491803279
ham,لقد وجدت وصفة رائعة لتجربتها.,لقد وجدت وصفة رائعة لتجربتها,"['لقد', 'وجدت', 'وصفة', 'رائعة', 'لتجربتها']","['لقد', 'وجدت', 'وصفة', 'رائعة', 'لتجربتها']",لقد وَجَد وَصفَة رَائِع لِ تَجرِبت هُوَ,0.20895522388059698,0.21311475409836061
spam,استفد من هذا العرض الحصري، ولكن سارع، الكمية محدودة!,استفد من هذا العرض الحصري، ولكن سارع، الكمية محدودة,"['استفد', 'من', 'هذا', 'العرض', 'الحصري،', 'ولكن', 'سارع،', 'الكمية', 'محدودة']","['استفد', 'العرض', 'الحصري،', 'سارع،', 'الكمية', 'محدودة']",اِستَفَدّ عَرض حَصرِيّ ، سَارَع ، كَمِّيَّة مَحدُود,0.4925373134328358,0.07377049180327865
spam,اشترِ الآن واحصل على مكافأة نقدية بقيمة 100 يورو.,اشترِ الآن واحصل على مكافأة نقدية بقيمة 100 يورو,"['اشترِ', 'الآن', 'واحصل', 'على', 'مكافأة', 'نقدية', 'بقيمة', '100', 'يورو']","['اشترِ', 'واحصل', 'مكافأة', 'نقدية', 'بقيمة', '100']",اِشتَرَى وَ حَصَل مُكَافَأَة نقدية بِ قِيمَة 100,0.4477611940298507,0.08196721311475406
spam,عرض حصري! احصل على قرض بقيمة 5000 دولار بدون رسوم. انقر هنا: www.رابط-وهمي3.com,عرض حصري احصل على قرض بقيمة 5000 دولار بدون رسوم انقر هنا wwwرابطوهمي3com,"['عرض', 'حصري', 'احصل', 'على', 'قرض', 'بقيمة', '5000', 'دولار', 'بدون', 'رسوم', 'انقر', 'هنا', 'wwwرابطوهمي3com']","['عرض', 'حصري', 'احصل', 'قرض', 'بقيمة', '5000', 'بدون', 'رسوم', 'انقر', 'wwwرابطوهمي3com']",عَرض حِصرِيّ حَصل قَرض بِ قِيمَة 5000 بدون رَسم انقر wwwرابطوهمي 3co m,0.835820895522388,0.6229508196721311
ham,لا تنسَ اجتماعنا غدًا في الساعة 9 صباحًا.,لا تنسَ اجتماعنا غدًا في الساعة 9 صباحًا,"['لا', 'تنسَ', 'اجتماعنا', 'غدًا', 'في', 'الساعة', '9', 'صباحًا']","['تنسَ', 'اجتماعنا', 'غدًا', 'الساعة', '9', 'صباحًا']",نَسََّ اِجتِمَاع هُوَ غَد سَاعَة 9 صَبَاح,0.34328358208955223,0.12295081967213116
spam,عاجل! تم اختراق حسابك. انقر هنا للتحقق: www.رابط-وهمي1.com,عاجل تم اختراق حسابك انقر هنا للتحقق wwwرابطوهمي1com,"['عاجل', 'تم', 'اختراق', 'حسابك', 'انقر', 'هنا', 'للتحقق', 'wwwرابطوهمي1com']","['عاجل', 'تم', 'اختراق', 'حسابك', 'انقر', 'للتحقق', 'wwwرابطوهمي1com']",عَاجِل تَمّ اِختِرَاق حَسَّابَك أَنقَر لِ تَحَقُّق wwwرابطوهمي 1co m,0.5970149253731343,0.8524590163934425
ham,الطقس جميل اليوم، هل نخرج؟,الطقس جميل اليوم، هل نخرج,"['الطقس', 'جميل', 'اليوم،', 'هل', 'نخرج']","['الطقس', 'جميل', 'اليوم،', 'نخرج']",طَقس جَمِيل يَوم ، نخرج,0.16417910447761194,0.25409836065573765
spam,قم بتحديث معلوماتك الآن لتجنب حذف حسابك.,قم بتحديث معلوماتك الآن لتجنب حذف حسابك,"['قم', 'بتحديث', 'معلوماتك', 'الآن', 'لتجنب', 'حذف', 'حسابك']","['قم', 'بتحديث', 'معلوماتك', 'لتجنب', 'حذف', 'حسابك']",قَام بِ تَحدِيث مَعلُومَة هُوَ لِ تَجَنُّب حِذف حَسَّابَك,0.34328358208955223,0.12295081967213116
ham,أخبرني عندما تكون متاحًا لإجراء مكالمة.,أخبرني عندما تكون متاحًا لإجراء مكالمة,"['أخبرني', 'عندما', 'تكون', 'متاحًا', 'لإجراء', 'مكالمة']","['أخبرني', 'عندما', 'تكون', 'متاحًا', 'لإجراء', 'مكالمة']",أَخبَرنِي عِندَمَا كَان مُتَاح لِ إِجرَاء مُكَالَمَة,0.34328358208955223,0.12295081967213116
ham,سنلتقي قريبًا، لا أطيق الانتظار!,سنلتقي قريبًا، لا أطيق الانتظار,"['سنلتقي', 'قريبًا،', 'لا', 'أطيق', 'الانتظار']","['سنلتقي', 'قريبًا،', 'أطيق', 'الانتظار']",سَ نلتقي قَرِيب ، أَطَاق اِنتِظَار,0.25373134328358204,0.18032786885245894
ham,أنا في اجتماع، سأتصل بك بعد ذلك.,أنا في اجتماع، سأتصل بك بعد ذلك,"['أنا', 'في', 'اجتماع،', 'سأتصل', 'بك', 'بعد', 'ذلك']","['اجتماع،', 'سأتصل']",اِجتِمَاع ، سَ اِتَّصَل,0.22388059701492538,0.19672131147540978
spam,عرض حصري! احصل على قرض بقيمة 10000 دولار بدون رسوم. انقر هنا: www.رابط-وهمي1.com,عرض حصري احصل على قرض بقيمة 10000 دولار بدون رسوم انقر هنا wwwرابطوهمي1com,"['عرض', 'حصري', 'احصل', 'على', 'قرض', 'بقيمة', '10000', 'دولار', 'بدون', 'رسوم', 'انقر', 'هنا', 'wwwرابطوهمي1com']","['عرض', 'حصري', 'احصل', 'قرض', 'بقيمة', '10000', 'بدون', 'رسوم', 'انقر', 'wwwرابطوهمي1com']",عَرض حِصرِيّ حَصل قَرض بِ قِيمَة 10000 بدون رَسم انقر wwwرابطوهمي 1co m,0.8507462686567164,0.6065573770491802
ham,هل يمكنك إعطائي العنوان الدقيق؟,هل يمكنك إعطائي العنوان الدقيق,"['هل', 'يمكنك', 'إعطائي', 'العنوان', 'الدقيق']","['يمكنك', 'إعطائي', 'العنوان', 'الدقيق']",أَمكَن هُوَ إِعطَائِيّ عُنوَان دَقِيق,0.23880597014925373,0.18852459016393436
